#
#     Code: data.txt 
#
#     Author:  Joshua Peterson
#   
#     Date:            Data for MCNP or scale
#
#     Description:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
########################################  

 Name   Name      Identifier  Mass (amu)  Nuclide_Type_1_act_2_U+_3_fp
h-1      h1         1001      1.0078             1
h-2       h2        1002      2.0141             1
h-3       h3        1003      3.0161             1
h-4       h4        1004      4.0278             1
h-5       h5        1005      5.0353             1
h-6       h6        1006      6.0449             1
h-7       h7        1007      7.0528             1
he-3      he3       2003      3.016              1
he-4      he4       2004      4.0026             1
he-5      he5       2005      5.0122             1
he-6      he6       2006      6.0189             1
he-7      he7       2007      7.028              1
he-8      he8       2008      8.0339             1
he-9      he9       2009      9.044              1
he-10     he10      2010      10.0524            1
li-3      li3       3003      3.0308             1
li-4      li4       3004      4.0272             1
li-5      li5       3005      5.0125             1
li-6      li6       3006      6.0151             1
li-7      li7       3007      7.016              1
li-8      li8       3008      8.0225             1
li-9      li9       3009      9.0268             1
li-10     li10      3010      10.0355            1
li-11     li11      3011      11.0438            1
li-12     li12      3012      12.0538            1
be-5      be5       4005      5.0408             1
be-6      be6       4006      6.0197             1
be-7      be7       4007      7.0169             1
be-8      be8       4008      8.0053             1
be-9      be9       4009      9.0122             1
be-10     be10      4010      10.0135            1
be-11     be11      4011      11.0217            1
be-12     be12      4012      12.0269            1
be-13     be13      4013      13.0357            1
be-14     be14      4014      14.0429            1
be-15     be15      4015      15.0535            1
be-16     be16      4016      16.0619            1
b-6       b6       5006      6.0468              1
b-7       b7       5007      7.0299              1
b-8       b8       5008      8.0246              1
b-9       b9       5009      9.0133              1
b-10      b10      5010      10.0129             1
b-11      b11      5011      11.0093             1
b-12      b12      5012      12.0143             1
b-13      b13      5013      13.0178             1
b-14      b14      5014      14.0254             1
b-15      b15      5015      15.0311             1
b-16      b16      5016      16.0398             1
b-17      b17      5017      17.047              1
b-18      b18      5018      18.0562             1
b-19      b19      5019      19.0637             1
c         c        6000      12.0107             1
c-8       c8      6008      8.0377               1
c-9       c9      6009      9.031                1
c-10      c10      6010      10.0169             1
c-11      c11      6011      11.0114             1
c-12      c12      6012      12                  1
c-13      c13      6013      13.0034             1
